#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
196	1.802398	3.187008	0.922456	2.931379	1.248527	2.474938
196.5	1.693294	3.308486	0.880779	2.916963	1.218324	2.504003
197	1.581713	3.41566	0.841714	2.896764	1.18723	2.529528
197.5	1.470173	3.506656	0.805303	2.871282	1.155561	2.551303
198	1.360883	3.580226	0.771542	2.841036	1.123622	2.569174
198.5	1.255656	3.635764	0.740396	2.806551	1.091699	2.583039
199	1.155875	3.673271	0.711801	2.768348	1.060056	2.592853
199.5	1.062499	3.693276	0.685675	2.726934	1.028928	2.598621
200	0.976097	3.696731	0.661924	2.682792	0.998527	2.600396
200.5	0.896914	3.684902	0.640444	2.636383	0.969033	2.598278
201	0.824933	3.659258	0.621131	2.588138	0.940598	2.592402
201.5	0.759939	3.621375	0.603878	2.538455	0.913349	2.58294
202	0.701585	3.572855	0.588581	2.487701	0.887385	2.570091
202.5	0.649436	3.515268	0.575141	2.436212	0.862782	2.554074
203	0.603015	3.450103	0.563463	2.384292	0.839595	2.535125
203.5	0.561829	3.378745	0.553459	2.332216	0.817862	2.513493
204	0.525394	3.302455	0.54505	2.280227	0.797603	2.48943
204.5	0.493249	3.222364	0.538162	2.228545	0.778826	2.463193
205	0.464964	3.139475	0.53273	2.177365	0.761526	2.435035
205.5	0.440143	3.054663	0.528695	2.126857	0.745691	2.405205
206	0.418431	2.968692	0.526008	2.077172	0.731303	2.373948
206.5	0.39951	2.882215	0.524623	2.028442	0.718335	2.341494
